start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
W 20 St & 10 Ave,W 21 St & 6 Ave,2904,40.745686,-74.005141,40.74173969,-73.99415556
Vernon Blvd & 50 Ave,46 Ave & 5 St,2883,40.74232744,-73.95411749,40.74731,-73.95451
Southpoint Park,Southpoint Park,2871,40.75370225419114,-73.95865201950072,40.75370225419114,-73.95865201950072
46 Ave & 5 St,45 Ave & 21 St,2867,40.74731,-73.95451,40.74737075646803,-73.94777297973631
11 Ave & W 41 St,W 42 St & 8 Ave,2862,40.76030096,-73.99884222,40.7575699,-73.99098507
6 Ave & W 33 St,E 33 St & 1 Ave,2862,40.74901271,-73.98848395,40.74322681432173,-73.97449783980846
S 5 Pl & S 5 St,S 5 Pl & S 5 St,2851,40.710451,-73.960876,40.710451,-73.960876
Greenwich St & W Houston St,Pier 40 - Hudson River Park,2849,40.728846,-74.008591,40.7277140777778,-74.01129573583603
Kent Ave & N 7 St,Milton St & Franklin St,2844,40.72036775298455,-73.96165072917938,40.72906,-73.95779
W 26 St & 8 Ave,10 Ave & W 28 St,2835,40.74734825,-73.99723551,40.75066386,-74.00176802
Picnic Point,Soissons Landing,2825,40.68512559515415,-74.02535319328308,40.69231660719192,-74.01486575603485
W 20 St & 10 Ave,W 20 St & 8 Ave,2813,40.745686,-74.005141,40.74345335,-74.00004031
Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,2752,40.777507027547976,-73.98888587951659,40.777507027547976,-73.98888587951659
N 6 St & Bedford Ave,Broadway & Berry St,2742,40.71745169,-73.95850939,40.71044554,-73.96525063
2 Ave & E 72 St,E 72 St & York Ave,2741,40.7687620293096,-73.95840793848038,40.76663814,-73.95348296
Central Park S & 6 Ave,Central Park West & W 72 St,2740,40.76590936,-73.97634151,40.77579376683666,-73.9762057363987
W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,2738,40.77748046,-73.98288594,40.777507027547976,-73.98888587951659
W 21 St & 6 Ave,W 22 St & 8 Ave,2729,40.74173969,-73.99415556,40.74475148,-73.99915362
10 Ave & W 14 St,10 Ave & W 14 St,2726,40.74198159994023,-74.00831580162048,40.74198159994023,-74.00831580162048
E 33 St & 1 Ave,6 Ave & W 33 St,2700,40.74322681432173,-73.97449783980846,40.74901271,-73.98848395
Central Park West & W 85 St,Central Park West & W 85 St,2694,40.78476,-73.969862,40.78476,-73.969862
North Moore St & Greenwich St,Vesey Pl & River Terrace,2685,40.72019521437465,-74.0103006362915,40.7153379,-74.01658354
W 22 St & 8 Ave,W 22 St & 10 Ave,2681,40.74475148,-73.99915362,40.74691959,-74.00451887
S 3 St & Bedford Ave,N 6 St & Bedford Ave,2675,40.71260486,-73.96264403,40.71745169,-73.95850939
River Ter & Warren St,Vesey Pl & River Terrace,2667,40.71759894980997,-74.01587963104248,40.7153379,-74.01658354
Grand Army Plaza & Central Park S,5 Ave & E 87 St,2658,40.764397,-73.973715,40.782323,-73.959875
Parade Pl & Crooke Ave,Parade Pl & Crooke Ave,2654,40.651847,-73.965248,40.651847,-73.965248
E 33 St & 1 Ave,W 31 St & 7 Ave,2651,40.74322681432173,-73.97449783980846,40.749156,-73.9916
12 Ave & W 40 St,Pier 40 - Hudson River Park,2647,40.76087502,-74.00277668,40.7277140777778,-74.01129573583603
Broadway & W 41 St,6 Ave & W 34 St,2645,40.75513557,-73.98658032,40.74964,-73.98805
11 Ave & W 27 St,W 26 St & 8 Ave,2638,40.751396,-74.005226,40.74734825,-73.99723551
W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,2630,40.77748046,-73.98288594,40.77515953434235,-73.98918695747852
1 Ave & E 68 St,E 68 St & 3 Ave,2598,40.76500525,-73.95818491,40.76712840349542,-73.96224617958069
Pier 40 - Hudson River Park,West St & Liberty St,2594,40.7277140777778,-74.01129573583603,40.711444,-74.014847
Kent Ave & N 7 St,Franklin St & Dupont St,2591,40.72036775298455,-73.96165072917938,40.73564,-73.95866
E 77 St & 3 Ave,1 Ave & E 78 St,2588,40.77314236,-73.95856158,40.77140426,-73.9535166
Willoughby St & Fleet St,Adelphi St & Myrtle Ave,2586,40.69196566,-73.9813018,40.69308257,-73.97178913
10 Ave & W 14 St,West St & Liberty St,2583,40.74198159994023,-74.00831580162048,40.711444,-74.014847
Grand Army Plaza & Central Park S,Central Park S & 6 Ave,2574,40.7643971,-73.97371465,40.76590936,-73.97634151
Richardson St & N Henry St,Graham Ave & Conselyea St,2562,40.71907891179564,-73.94223690032959,40.715143,-73.944507
Amsterdam Ave & W 73 St,Amsterdam Ave & W 82 St,2561,40.77966809007312,-73.98093044757842,40.78524672,-73.97667321
E 68 St & 3 Ave,1 Ave & E 68 St,2543,40.76712840349542,-73.96224617958069,40.76500525,-73.95818491
Motorgate,Motorgate,2542,40.7639089,-73.9477213,40.7639089,-73.9477213
W 26 St & 10 Ave,W 26 St & 8 Ave,2509,40.749717753,-74.002950346,40.74734825,-73.99723551
E 102 St & 1 Ave,2 Ave & E 96 St,2508,40.7869946,-73.94164802,40.7839636,-73.9471673
E 32 St & Park Ave,E 33 St & 1 Ave,2483,40.7457121,-73.98194829,40.74322681432173,-73.97449783980846
Central Park West & W 68 St,Central Park West & W 72 St,2477,40.7734066,-73.97782542,40.77579376683666,-73.9762057363987
9 Ave & W 18 St,W 17 St & 8 Ave,2476,40.74317449,-74.00366443,40.74177603,-74.00149746
Wards Meadow Comfort Station,Wards Meadow Comfort Station,2471,40.78294,-73.93077,40.78294,-73.93077
Washington Square E,University Pl & E 14 St,2459,40.73049393,-73.9957214,40.734814,-73.992085
11 Ave & W 59 St,W 59 St & 10 Ave,2457,40.77149671054441,-73.99046033620834,40.770513,-73.988038
1 Ave & E 78 St,E 85 St & 3 Ave,2446,40.77140426,-73.9535166,40.77801203,-73.95407149
7 Ave & Central Park South,5 Ave & E 87 St,2444,40.7667405590595,-73.9790689945221,40.78232260730881,-73.95987510681152
N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,2441,40.71745169,-73.95850939,40.716887,-73.963198
West St & Chambers St,West St & Liberty St,2440,40.71754834,-74.01322069,40.711444,-74.014847
3 St & Prospect Park West,3 St & Prospect Park West,2429,40.668132,-73.97363831,40.668132,-73.97363831
E 27 St & 1 Ave,E 25 St & 2 Ave,2415,40.739445,-73.976806,40.73912601,-73.97973776
W 42 St & 6 Ave,11 Ave & W 41 St,2410,40.75492,-73.98455,40.76030096,-73.99884222
Riverside Blvd & W 67 St,W 70 St & Amsterdam Ave,2402,40.777507027547976,-73.98888587951659,40.77748046,-73.98288594
5 Ave & E 72 St,Central Park West & W 72 St,2390,40.77282817,-73.96685276,40.77579376683666,-73.9762057363987
Central Park West & W 72 St,5 Ave & E 72 St,2385,40.77579376683666,-73.9762057363987,40.77282817,-73.96685276
W 21 St & 6 Ave,W 20 St & 10 Ave,2385,40.74174,-73.994156,40.745686,-74.005141
W 15 St & 6 Ave,W 21 St & 6 Ave,2364,40.738046142482766,-73.99642959237099,40.74173969,-73.99415556
